timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
11,-0.082031,-0.048828,1.014648,-2.929688,5.554199,7.385254
21,-0.053345,-0.080444,1.052246,-2.136230,5.310059,7.324219
30,0.000732,-0.166626,1.002563,-1.464844,5.310059,7.751465
41,0.027100,-0.194092,0.954468,-1.037598,5.676270,9.033203
50,0.088379,-0.188477,0.938354,-1.098633,5.920410,13.427734
60,0.034790,-0.142212,1.016724,-0.915527,6.286621,16.418457
71,-0.025635,-0.192871,1.027588,-0.488281,6.713867,18.798828
81,-0.054810,-0.190796,1.029541,-0.305176,6.958008,21.179199
90,-0.062988,-0.111450,1.052612,-0.366211,7.141113,22.644043
101,-0.091064,-0.180420,0.961670,-0.366211,7.507324,24.047852
110,-0.117554,-0.197266,0.919678,-0.244141,7.934570,25.634766
120,-0.090576,-0.193604,0.866455,-0.305176,7.873535,29.296875
132,-0.106567,-0.284424,0.831299,-1.281738,8.361816,31.494141
141,-0.103882,-0.215332,0.886230,-1.953125,8.789063,33.691406
151,-0.106323,-0.186768,0.919556,-2.075195,8.789063,36.132812
160,-0.124268,-0.235840,0.954956,-2.014160,9.216309,38.330078
170,-0.093872,-0.177002,1.087769,-1.770020,9.399414,39.367676
181,-0.077393,-0.138306,1.113647,-1.342773,9.460449,40.283203
190,-0.054810,-0.250732,1.078979,-0.671387,8.666992,39.611816
202,-0.035156,-0.253662,0.917358,-0.366211,7.995605,38.757324
212,-0.008911,-0.191406,0.921021,-0.610352,6.652832,37.963867
221,-0.013916,-0.099365,1.050293,-1.281738,5.737305,37.597656
231,-0.013428,-0.047363,1.080200,-1.770020,5.676270,37.231445
240,0.012573,-0.088745,1.106689,-1.403809,5.676270,37.414551
251,0.040894,-0.044434,1.116333,-1.403809,5.126953,37.231445
260,0.014526,-0.045532,1.119507,-0.854492,3.479004,36.132812
272,-0.008423,-0.226440,0.969482,-0.305176,2.746582,34.729004
281,0.045654,-0.128418,1.014038,-0.915527,2.014160,33.691406
291,0.031372,0.017578,1.059814,-0.854492,1.464844,32.958984
300,0.017822,0.011597,1.057129,-0.793457,0.488281,32.470703
311,-0.046997,-0.130005,1.029907,-0.366211,0.122070,32.653809
320,-0.026245,-0.245117,0.955078,-0.183105,0.183105,32.714844
332,-0.023804,-0.120117,0.993774,-0.610352,0.244141,34.423828
342,-0.078125,-0.091675,0.979248,-0.671387,-0.671387,34.851074
351,-0.081787,-0.220581,0.921265,-0.427246,-0.732422,35.461426
361,-0.102173,-0.222900,0.940552,-0.488281,-0.610352,35.522461
371,-0.104126,-0.233276,0.975220,-0.549316,-0.427246,35.949707
380,-0.074341,-0.131104,1.005493,-0.732422,-0.244141,36.621094
390,-0.083374,-0.130371,1.013550,-0.305176,-0.427246,36.621094
400,-0.066650,-0.271362,0.923340,-0.122070,-0.854492,36.621094
410,-0.063477,-0.277222,0.938477,0.061035,-1.098633,36.010742
421,-0.030762,-0.202881,0.942261,0.000000,-1.708984,35.949707
431,-0.006958,-0.093872,0.983521,0.305176,-2.197266,35.522461
440,-0.082031,-0.086304,0.999390,0.305176,-2.380371,34.912109
451,-0.071167,-0.056396,1.131836,0.549316,-2.502441,33.935547
461,-0.112427,-0.014038,1.165527,0.793457,-2.258301,32.043457
470,-0.069580,-0.005981,1.149170,1.892090,-3.234863,26.977539
480,-0.073364,-0.151245,1.071655,2.929688,-3.845215,23.254395
491,-0.027588,-0.267090,0.998047,3.540039,-4.089355,19.042969
500,0.016724,-0.212891,0.937134,2.807617,-5.187988,15.197754
510,0.112183,-0.166382,0.878662,2.014160,-6.042480,12.023926
521,0.143311,-0.148560,0.742676,1.525879,-7.019043,10.437012
530,0.201660,-0.107422,0.788574,0.915527,-8.178711,9.338379
540,0.243408,-0.083618,0.893066,-0.427246,-10.009766,8.850098
552,0.154541,-0.001953,0.913696,-1.708984,-10.559082,8.361816
561,0.099609,-0.107910,0.976929,-1.525879,-10.498047,7.385254
571,0.117798,-0.196167,0.942383,-0.793457,-9.643555,6.774902
581,0.138794,-0.192627,0.943237,-0.549316,-9.765625,5.004883
590,0.049683,-0.053345,1.047607,-1.037598,-11.169434,2.136230
601,-0.037231,-0.056030,1.017456,-1.342773,-11.779785,-1.037598
610,-0.020386,-0.131592,1.048096,-0.549316,-11.779785,-7.934570
622,0.048340,-0.206787,0.992065,-0.122070,-12.573242,-11.108398
631,0.095581,-0.216064,0.980469,-0.122070,-12.878418,-14.587402
641,0.168823,-0.097290,0.959106,-0.915527,-13.610840,-16.662598
651,0.200073,-0.087036,0.979126,-1.281738,-13.427734,-17.578125
