timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
11,-0.102051,-0.173462,0.906006,-2.075195,7.202148,2.197266
20,-0.092651,-0.078003,0.935181,-2.502441,7.690430,2.929688
32,-0.083862,0.024902,1.034058,-2.746582,8.972168,4.394531
41,-0.086426,-0.104614,0.981079,-2.197266,9.277344,4.455566
52,-0.083862,0.002441,1.007324,-2.319336,9.094238,3.784180
61,-0.065430,0.053101,1.032715,-2.685547,9.155273,3.173828
71,-0.078369,0.007080,1.020874,-2.685547,8.666992,2.136230
81,-0.076660,-0.052734,0.984009,-2.380371,8.911133,1.342773
90,-0.077637,-0.025391,0.953857,-2.136230,9.094238,1.159668
102,-0.048584,-0.092529,0.930176,-2.441406,9.765625,1.586914
111,-0.027710,-0.083252,1.062256,-2.380371,10.070801,2.197266
122,-0.041626,-0.022705,1.040771,-2.075195,10.620117,2.807617
131,-0.073975,-0.124634,0.944214,-1.831055,10.253906,2.746582
141,-0.073364,-0.129639,0.937012,-2.075195,10.314941,2.746582
151,-0.081421,-0.027222,0.989502,-2.441406,10.009766,2.685547
160,-0.120972,-0.082031,0.958130,-2.563477,9.826660,2.990723
172,-0.121094,-0.112671,0.922852,-2.624512,12.084961,5.615234
181,-0.068115,-0.143188,0.947388,-2.990723,12.145996,6.774902
192,-0.086182,-0.172852,0.903198,-3.051758,12.145996,7.751465
201,-0.153931,-0.105225,0.962524,-3.173828,12.634277,8.789063
211,-0.142334,-0.016113,1.063843,-3.112793,13.610840,9.887695
221,-0.123291,-0.063721,1.062744,-2.563477,14.648438,10.925293
231,-0.112061,-0.058838,1.026978,-1.953125,14.953613,11.413574
242,-0.093262,-0.092651,1.039795,-1.586914,14.709473,12.878418
252,-0.060181,-0.086182,0.954102,-1.342773,15.075684,13.916016
261,-0.003174,-0.049927,1.000244,-1.403809,15.686035,15.869141
270,-0.007324,-0.107056,1.021484,-1.281738,15.869141,18.005371
281,-0.015869,-0.185913,0.967773,-1.220703,15.563965,19.592285
291,-0.051392,-0.084839,0.955933,-1.525879,15.563965,21.484375
301,-0.065674,-0.016602,1.010498,-2.075195,15.197754,22.766113
312,-0.054199,-0.080078,1.013916,-2.319336,15.930176,24.719238
322,-0.037598,-0.142578,0.966187,-2.319336,16.235352,25.268555
331,-0.041626,-0.075806,1.062256,-2.258301,16.113281,25.512695
341,-0.051392,-0.116089,1.060059,-2.380371,15.563965,25.939941
350,-0.049927,-0.118530,1.003906,-2.441406,15.563965,26.123047
361,-0.022461,-0.056885,1.017212,-2.502441,15.686035,26.245117
370,-0.003296,-0.086670,0.991089,-2.502441,15.625000,26.550293
382,0.020996,-0.187134,0.947876,-2.258301,14.526367,27.099609
391,0.051880,-0.164917,0.924805,-2.380371,14.099121,27.587891
402,0.074585,-0.066406,1.000732,-2.502441,13.488770,28.076172
411,0.109497,-0.098877,1.046387,-2.075195,13.427734,28.381348
421,0.114990,-0.205811,0.971191,-1.525879,12.634277,28.015137
431,0.115234,-0.262939,0.952271,-1.159668,11.840820,27.526855
440,0.101685,-0.198975,0.990967,-0.976562,10.986328,26.428223
451,0.168945,-0.215088,0.956055,-0.610352,9.765625,25.634766
