timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
11,-0.118408,-0.095215,0.998047,0.976562,7.263184,6.713867
21,-0.121948,-0.204468,0.911865,1.037598,8.178711,7.568359
31,-0.138062,-0.051147,0.965576,0.305176,7.995605,8.422852
41,-0.126587,-0.112549,1.018188,0.549316,8.300781,8.605957
51,-0.108032,-0.045532,1.093506,1.037598,9.033203,8.728027
61,-0.062988,-0.111572,0.984497,1.281738,9.216309,8.483887
72,-0.062744,-0.306274,0.790283,1.464844,8.422852,8.911133
82,-0.063232,-0.094604,0.881958,0.244141,8.728027,10.986328
91,-0.058594,-0.072266,0.866333,-1.098633,9.765625,14.526367
101,-0.125488,-0.029297,0.984741,-1.770020,10.925293,18.615723
111,-0.130249,-0.099121,0.929077,-2.136230,11.291504,21.667480
121,-0.142334,-0.125122,0.924927,-2.441406,11.596680,23.193359
131,-0.018677,-0.062988,1.123169,-3.234863,11.718750,25.207520
140,-0.072021,0.007568,1.150513,-2.380371,11.596680,26.062012
151,-0.043823,-0.163696,1.085083,-1.647949,11.962891,27.343750
161,0.126709,-0.193970,0.980225,-1.220703,10.803223,27.343750
171,0.115967,-0.198242,0.933838,-1.770020,8.728027,27.587891
181,0.012085,-0.036865,1.062866,-2.319336,8.117676,29.113770
191,0.005615,-0.097900,1.017700,-2.502441,8.300781,30.700684
201,-0.050415,-0.120117,1.005371,-2.380371,8.361816,32.226562
213,-0.182739,-0.100586,1.085815,-1.281738,7.141113,31.127930
222,-0.122559,-0.003662,1.145386,-0.427246,7.324219,30.212402
232,-0.065918,-0.165649,1.127930,0.427246,7.263184,28.869629
241,-0.083740,-0.060791,1.012329,0.549316,5.798340,26.489258
251,-0.072021,-0.175049,0.986938,1.037598,4.943848,25.146484
261,-0.004517,-0.212402,0.923950,1.098633,4.760742,24.780273
271,0.061401,-0.128784,0.957275,0.793457,4.333496,25.268555
282,-0.016113,-0.067993,0.962891,-0.366211,4.272461,27.282715
292,-0.017944,-0.213989,1.014893,-0.122070,4.516602,28.076172
301,0.029297,-0.102905,0.993042,-0.061035,3.845215,26.916504
311,-0.032471,-0.202026,1.012817,0.305176,2.441406,24.780273
321,-0.010864,-0.100586,0.995239,0.061035,1.403809,22.766113
331,0.032227,-0.024292,1.096558,-0.305176,1.037598,21.667480
342,0.080200,-0.142944,0.963745,-0.122070,-0.305176,20.385742
351,0.077759,-0.107788,1.057129,-0.305176,-0.488281,19.714355
361,0.095947,-0.076294,1.037109,-0.244141,-0.183105,19.714355
371,0.151367,-0.039429,1.055420,-0.183105,-1.037598,18.798828
381,0.078125,-0.113892,0.980103,-0.183105,-2.685547,17.211914
392,0.145752,0.002075,1.094971,-0.244141,-3.540039,15.747070
401,0.145752,-0.103882,0.956909,0.122070,-4.333496,13.977051
413,0.049683,-0.119263,0.918213,0.427246,-6.225586,11.657715
423,0.015747,-0.056885,0.903809,0.000000,-6.408691,11.352539
432,0.066772,-0.035156,0.938477,-0.244141,-6.164551,11.047363
442,-0.049316,-0.099365,0.941284,-0.061035,-6.652832,10.192871
452,-0.096680,-0.124878,0.950439,-0.122070,-6.713867,9.155273
461,-0.000366,-0.117065,1.017822,-0.366211,-5.859375,7.995605
471,0.055786,-0.019043,1.051392,-0.549316,-6.225586,5.920410
483,-0.008667,-0.119385,0.994019,0.061035,-7.507324,0.000000
493,0.079834,-0.149780,0.923096,-0.061035,-7.751465,-2.319336
503,0.119873,-0.024536,1.004150,-0.122070,-7.568359,-4.089355
512,0.094482,-0.043335,1.043335,0.183105,-8.422852,-5.676270
522,0.019897,-0.149658,0.969482,0.854492,-8.544922,-6.958008
531,0.211060,-0.181396,0.988892,0.854492,-7.934570,-7.568359
541,0.151978,-0.204102,0.875122,0.366211,-9.399414,-8.850098
551,0.080811,-0.134521,0.905396,-0.793457,-9.765625,-9.399414
562,0.128906,-0.023804,1.084961,-3.295898,-7.873535,-8.666992
572,0.087158,-0.078003,1.117798,-4.150391,-7.202148,-9.521484
581,0.086426,-0.040771,1.108643,-4.089355,-8.117676,-11.779785
591,0.078491,-0.060059,0.992310,-3.173828,-8.728027,-14.526367
601,0.206055,-0.101929,0.935791,-2.685547,-9.704590,-16.479492
611,0.240723,-0.151978,0.973999,-2.624512,-9.948730,-17.333984
620,0.170654,-0.081787,0.944946,-3.051758,-10.375977,-16.723633
632,0.080322,-0.066162,0.964355,-3.417969,-8.178711,-14.343262
642,0.102783,-0.037964,1.040894,-3.295898,-7.446289,-14.526367
652,0.010376,-0.205200,0.938721,-2.563477,-8.239746,-16.540527
661,-0.054810,-0.137451,0.917358,-3.051758,-8.850098,-18.615723
671,-0.052246,-0.200317,0.913818,-3.784180,-7.812500,-19.042969
681,-0.020874,0.041870,0.987305,-4.516602,-6.958008,-18.493652
694,-0.059937,-0.084961,1.043335,-3.723145,-3.784180,-15.136719
704,0.013672,-0.159180,1.041260,-3.051758,-3.051758,-13.305664
