timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
10,-0.039673,-0.076782,0.963379,-2.136230,3.723145,-4.089355
20,-0.028687,-0.134888,0.956421,-2.197266,4.089355,-4.577637
30,-0.020874,-0.118896,0.945190,-2.197266,4.089355,-5.249023
42,-0.038086,-0.050415,0.984497,-2.136230,3.723145,-6.225586
51,0.014038,-0.116821,0.979126,-1.831055,2.685547,-6.286621
61,0.047974,-0.113525,0.946655,-1.525879,2.624512,-6.103516
71,-0.000488,-0.110229,0.950928,-1.708984,2.807617,-5.737305
81,0.038208,-0.088745,0.963623,-1.831055,2.990723,-5.187988
90,0.028809,-0.111328,1.005127,-1.281738,2.929688,-4.638672
100,-0.004883,-0.131470,0.969604,-1.037598,2.502441,-4.333496
112,-0.044434,-0.104126,0.993774,-1.281738,2.441406,-2.868652
121,-0.029907,-0.093750,1.002808,-1.220703,2.746582,-2.014160
131,-0.047119,-0.091187,0.986450,-0.915527,3.295898,-1.220703
140,-0.057007,-0.055420,1.005737,-1.525879,3.601074,-1.159668
150,-0.062500,-0.029663,1.040894,-1.831055,3.662109,-1.098633
160,-0.028564,0.029785,1.096924,-1.770020,3.295898,-1.098633
171,-0.046021,0.052368,1.063599,-1.159668,2.929688,-0.488281
180,-0.064697,-0.052734,0.961914,-0.732422,2.746582,0.122070
192,-0.067871,-0.044922,0.952271,-0.671387,3.601074,0.366211
201,-0.069824,-0.050171,0.959961,-1.037598,4.455566,-0.488281
210,-0.058472,-0.026367,1.040283,-0.671387,3.723145,-1.586914
220,-0.051025,-0.083618,0.972534,-0.488281,2.929688,-3.295898
230,-0.004639,-0.158569,0.940918,-0.488281,3.112793,-4.699707
241,-0.007446,-0.053711,1.063232,-0.854492,3.295898,-5.798340
250,0.037964,0.026123,1.083496,-0.976562,2.929688,-6.713867
262,0.024048,-0.008057,1.035889,-0.610352,2.380371,-6.591797
271,-0.013306,-0.056885,0.988037,0.366211,2.563477,-5.371094
281,-0.031982,-0.107178,0.916626,0.305176,3.112793,-4.333496
290,-0.046143,-0.092407,0.942139,0.366211,3.662109,-3.845215
300,-0.024780,-0.095337,0.901611,0.244141,3.601074,-4.028320
311,-0.008789,-0.137939,0.886719,-0.244141,3.417969,-4.821777
320,-0.005737,-0.093140,0.978638,-0.793457,3.112793,-5.615234
330,0.054443,-0.012695,1.004395,-1.098633,2.319336,-5.981445
342,0.097168,0.004883,1.081665,-1.159668,1.953125,-5.004883
351,0.066772,0.054321,1.058716,-0.854492,1.770020,-2.807617
360,0.049438,0.006470,1.012451,-0.671387,2.075195,-0.610352
370,0.030396,0.007080,1.047852,-0.793457,2.807617,1.586914
380,0.029053,0.058228,1.052612,-0.793457,2.807617,3.417969
390,-0.003662,-0.026855,1.008057,-0.488281,2.502441,4.577637
402,-0.030396,-0.036011,0.963867,-0.305176,2.319336,4.821777
411,-0.003906,-0.073608,0.958252,-0.488281,1.953125,4.150391
421,-0.040283,-0.033081,0.921021,-0.915527,1.708984,3.540039
430,0.033447,-0.078491,1.013184,-0.854492,1.770020,4.333496
440,0.082886,-0.074707,0.966431,-0.854492,1.647949,4.272461
450,0.001221,-0.081299,1.008179,-0.549316,1.098633,4.638672
460,-0.025146,-0.084473,0.981689,-0.427246,0.610352,4.638672
470,-0.026001,-0.068115,0.934326,-0.366211,0.366211,3.601074
481,-0.075317,-0.120605,0.918945,-0.488281,0.183105,3.112793
491,-0.085815,-0.109619,0.950806,-0.976562,0.061035,1.892090
500,-0.124023,-0.082764,0.916382,-1.586914,0.061035,0.488281
510,-0.114868,-0.048340,0.981934,-1.586914,0.366211,-1.403809
521,-0.171265,-0.074341,0.973022,-1.525879,0.549316,-3.662109
530,-0.190918,-0.081299,0.967651,-1.464844,0.488281,-5.981445
540,-0.175537,-0.121460,1.082153,-1.098633,1.647949,-9.277344
550,-0.233887,-0.098877,1.057373,-0.854492,2.502441,-10.620117
561,-0.171875,-0.093140,1.074707,-0.793457,3.234863,-11.840820
570,-0.201660,-0.043579,1.022461,-0.671387,3.845215,-12.268066
580,-0.203125,-0.053223,1.038086,-0.122070,5.004883,-12.084961
590,-0.218750,-0.077148,1.008667,0.122070,6.164551,-12.023926
600,-0.203857,-0.065674,1.018677,0.366211,7.446289,-11.230469
610,-0.170532,-0.040405,1.035522,0.976562,8.972168,-11.352539
621,-0.137207,-0.139038,0.959351,0.854492,9.887695,-10.620117
631,-0.063232,-0.136353,0.969116,0.549316,10.681152,-10.437012
640,-0.052124,-0.124023,1.005737,0.183105,11.474609,-10.498047
650,-0.012573,-0.093384,0.996582,-0.488281,11.840820,-9.826660
660,0.045532,-0.035400,1.085815,-0.854492,11.901855,-8.911133
671,0.033691,0.094238,1.071411,-0.854492,12.207031,-7.324219
680,0.048584,0.075806,0.959106,-0.488281,14.709473,1.586914
691,0.018066,0.099121,0.963623,-0.366211,16.601562,8.422852
700,0.059937,0.085815,1.036377,-0.488281,17.639160,13.854980
710,0.035522,0.046265,1.027100,-0.549316,17.517090,18.310547
720,0.023193,0.033813,0.994751,-0.366211,16.662598,20.996094
730,0.009277,0.026978,0.940308,-0.061035,16.357422,21.911621
740,-0.056763,-0.005615,0.941040,-0.244141,16.296387,22.277832
752,-0.061157,0.129639,1.018799,-0.854492,16.418457,23.559570
761,-0.131592,0.104004,1.059814,-0.976562,15.441895,23.986816
771,-0.263428,0.129272,1.154053,-0.976562,14.587402,23.864746
780,-0.118530,-0.331055,1.104370,-1.037598,15.380859,23.559570
790,0.466675,-0.247681,1.267700,-2.075195,15.869141,24.230957
800,0.213257,0.051514,1.454956,-3.540039,11.291504,25.817871
810,-0.330566,0.360107,1.120605,-2.380371,7.141113,27.648926
822,0.273682,-0.019165,0.635620,4.516602,15.869141,30.212402
832,0.574463,-0.516479,0.780029,4.272461,19.226074,30.700684
841,0.303589,-0.486450,0.895142,0.915527,15.930176,25.756836
851,-0.130249,-0.209351,1.096313,-2.563477,10.009766,18.798828
860,-0.310913,-0.067871,1.179810,-2.807617,5.493164,12.573242
870,-0.478271,-0.170410,1.152466,-0.732422,3.906250,7.690430
882,-0.402100,-0.328491,1.088501,0.671387,9.277344,4.943848
891,-0.041626,-0.353394,0.853027,0.122070,10.009766,4.272461
902,0.006714,-0.395630,0.726562,0.366211,8.300781,2.990723
911,0.043091,-0.416748,0.709229,0.854492,6.774902,2.258301
920,0.028442,-0.433838,0.745117,0.976562,6.774902,2.380371
931,0.092285,-0.466064,0.887939,0.244141,7.385254,2.990723
941,0.160645,-0.415405,0.970093,-1.098633,8.850098,3.234863
952,0.156494,-0.396484,1.053101,-1.770020,9.155273,4.516602
961,-0.005127,-0.503784,0.977417,-1.220703,8.422852,4.699707
972,-0.020630,-0.454712,1.065308,-0.671387,7.934570,4.577637
981,0.022705,-0.494385,1.033203,-0.793457,7.690430,3.967285
990,0.141724,-0.453369,1.126465,-1.525879,7.507324,3.845215
1000,0.213501,-0.410767,1.024048,-1.525879,7.202148,3.967285
1010,0.247192,-0.410767,0.912598,-0.976562,7.446289,4.760742
1020,0.328125,-0.449707,0.943237,0.305176,7.263184,6.042480
1031,0.297241,-0.494507,1.078369,1.220703,6.652832,8.178711
1041,0.188232,-0.544434,0.970215,0.671387,4.333496,8.483887
1050,0.194946,-0.468506,0.957031,0.000000,3.234863,7.812500
1060,0.159424,-0.425537,1.020142,-0.427246,1.770020,6.958008
1071,0.110474,-0.398193,1.017456,-0.671387,0.122070,5.554199
1080,0.082520,-0.358765,0.968628,-0.549316,-1.159668,4.089355
1092,0.101807,-0.316772,0.911743,-0.732422,-2.624512,2.563477
1101,0.228760,-0.316528,0.859009,-0.732422,-2.685547,2.868652
1112,0.189453,-0.271118,0.785278,-1.098633,-3.173828,3.479004
1121,0.144409,-0.206055,0.775879,-1.586914,-3.479004,3.784180
1130,0.159058,-0.230103,0.836304,-1.586914,-3.234863,3.540039
1141,0.157959,-0.209351,1.010254,-1.708984,-3.601074,2.929688
1150,0.077515,-0.246338,0.968140,-2.319336,-4.455566,2.197266
1163,0.056396,-0.076416,1.087280,-3.051758,-5.310059,-0.183105
1173,0.053833,-0.059937,1.087769,-3.295898,-5.615234,-0.671387
1182,0.100952,0.201538,1.112061,-3.723145,-5.676270,0.122070
